TAZ,CBD,HH_IncludingGQ,HH,HH_GQ,Accomodations,College_University,Commercial,Industrial,Institutional,K12,Retail,Special_Commercial,Special_Retail
1,0,130,130,0,3,0,13,7,0,0,1,39,8
2,0,147,147,0,0,0,2,2,0,0,5,4,4
3,0,40,40,0,0,0,0,0,0,0,0,0,0
4,0,29,29,0,0,0,0,0,0,0,0,0,0
5,0,207,207,0,0,0,20,11,8,0,4,32,0
30,0,14,14,0,0,0,0,0,0,0,0,0,0
55,0,402,402,0,0,0,50,1715,31,10,74,0,0
56,0,99,99,0,0,0,40,403,0,0,68,0,0
57,0,190,190,0,0,0,12,2,0,0,5,0,0
58,0,0,0,0,0,0,667,661,44,0,0,45,0
59,0,0,0,0,0,0,131,296,51,0,309,17,5
60,0,16,16,0,0,0,281,316,19,0,54,28,13
61,0,49,49,0,0,0,59,0,0,0,0,27,0
62,0,767,745,22,35,117,50,15,19,175,7,4,0
63,0,632,632,0,5,0,181,26,95,0,90,5,60
64,0,1242,1242,0,0,0,237,20,215,0,32,11,9
65,0,775,775,0,0,0,46,14,328,60,10,1,4
66,0,218,218,0,0,0,32,27,18,0,3,3,7
67,0,141,141,0,0,0,68,46,9,0,11,57,0
68,0,192,192,0,5,0,24,151,9,73,219,75,22
69,0,383,383,0,0,0,567,13,18,43,24,4,6
70,0,281,281,0,0,0,157,33,12,0,175,18,42
71,0,116,116,0,0,0,256,1,37,0,120,25,12
72,0,21,21,0,0,0,162,1,4,0,30,1,8
73,0,24,24,0,8,0,73,5,32,0,25,0,0
74,0,4,4,0,0,0,3,0,0,0,77,0,4
75,0,68,68,0,0,0,384,191,114,0,5,2,27
76,0,574,574,0,0,0,106,39,47,0,74,18,21
77,0,137,137,0,0,0,9,94,258,0,397,28,12
78,0,229,225,4,0,0,43,22,2,0,7,11,0
79,0,1402,1363,39,0,0,108,40,12,151,39,15,32
80,0,291,291,0,0,0,19,5,1,0,4,0,8
81,0,31,31,0,0,0,4,0,0,0,488,0,39
82,0,213,213,0,1,0,81,4,5,0,13,4,0
83,0,134,134,0,0,0,160,2,0,0,12,5,0
84,0,125,125,0,0,0,26,0,5,0,2,1,0
85,0,108,108,0,0,0,30,0,28,0,0,0,0
86,0,73,73,0,0,0,0,0,0,0,0,0,1
87,0,56,56,0,0,0,63,0,0,0,48,0,0
88,0,6,6,0,0,0,584,7,6,0,4,0,10
89,0,88,88,0,0,0,251,0,8,1,11,1,0
90,0,95,95,0,502,0,78,56,0,0,466,0,34
91,0,135,0,135,0,0,242,0,38,0,11,0,8
92,0,129,129,0,0,0,4,2,0,0,27,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,195,195,0,0,0,8,3,47,50,7,0,3
95,0,257,191,66,0,0,20,5,0,0,30,0,0
96,0,130,130,0,0,0,134,1,44,0,14,1,0
97,0,149,149,0,4,0,34,6,24,0,9,0,0
98,0,365,365,0,0,0,13,11,40,0,23,0,0
99,0,179,179,0,0,0,8,38,0,0,4,0,11
100,0,459,450,9,0,0,17,14,1,0,19,0,0
101,0,128,128,0,0,0,110,6,38,0,5,11,0
102,0,441,227,214,0,0,19,7,1,0,0,35,0
103,0,881,855,26,0,0,60,166,0,14,134,2,48
104,0,104,104,0,0,0,83,5,3,0,5,11,0
105,0,1826,0,1826,0,0,173,0,0,0,0,0,0
106,0,147,91,56,0,0,22,0,20,0,0,0,0
107,0,141,141,0,0,0,77,0,16,0,8,1,0
108,0,323,323,0,0,0,8,2,120,0,0,2,1
109,0,88,88,0,0,0,21,28,0,0,1,0,0
110,0,151,151,0,0,0,17,8,19,0,39,9,0
111,0,153,123,30,0,0,310,26,10,0,4,45,139
112,0,29,29,0,0,0,24,0,47,0,13,2,0
113,0,51,51,0,2,0,393,20,31,0,68,7,84
114,0,20,20,0,0,0,171,62,2,0,6,13,30
115,0,239,239,0,15,0,971,10,4,0,991,40,81
116,0,38,38,0,0,0,1094,11,98,4,262,70,178
117,0,193,180,13,0,0,14,0,3,0,15,0,21
118,0,70,70,0,0,0,41,0,21,9,3,0,0
119,0,322,296,26,0,0,7,0,29,0,4,6,0
120,0,144,144,0,0,0,25,7,301,44,0,0,0
121,0,265,65,201,0,0,108,0,12,0,0,0,0
122,0,292,292,0,0,0,44,84,0,29,22,0,0
123,0,1121,0,1121,0,0,42,11,0,0,21,74,0
124,0,1386,0,1386,0,0,11,4,0,0,6,21,0
125,0,81,81,0,0,0,30,0,0,0,0,0,0
126,0,12,12,0,0,0,145,0,0,0,11,5,0
127,0,58,58,0,2,0,394,102,5,0,85,39,345
128,0,38,38,0,0,0,558,28,35,0,183,16,176
129,0,111,111,0,0,0,157,103,83,0,40,8,0
130,0,5,5,0,0,5492,0,0,0,0,0,0,0
131,0,15,15,0,0,0,55,0,0,0,0,74,0
132,0,298,0,298,0,0,43,0,8799,0,0,0,0
133,0,391,0,391,0,0,29,0,52,61,0,0,0
134,0,22,22,0,0,0,79,20,0,0,0,0,0
135,0,125,125,0,1,0,81,90,97,0,12,4,19
136,0,13,13,0,4,0,13,6,8,0,162,0,47
137,0,44,14,30,3,0,2,0,3,0,1,0,0
138,0,165,165,0,0,0,6,10,5,0,7,2,5
139,0,110,110,0,0,0,1,2,0,0,14,0,7
140,0,154,145,9,0,0,5,0,5,0,4,0,3
141,0,408,408,0,0,0,36,7,39,0,10,0,0
142,0,139,112,27,0,0,225,1,16,0,1,0,0
143,0,26,26,0,0,0,14,1,0,0,0,0,0
144,0,67,55,12,0,32,5,0,32,171,0,0,0
145,0,63,0,63,0,0,0,0,52,0,7,0,0
146,0,128,31,97,10,0,10,0,15,0,0,0,0
147,0,170,117,53,0,0,33,0,0,0,2,0,1
148,0,92,92,0,0,0,22,15,37,0,156,42,0
149,0,124,114,10,0,0,79,0,4,0,0,0,0
150,0,74,74,0,0,0,325,111,74,0,206,0,0
151,0,109,109,0,0,0,12,7,0,0,1,0,12
152,0,121,121,0,0,0,56,1,3,0,6,2,7
153,0,140,140,0,0,0,5,10,4,70,9,0,0
154,0,122,122,0,0,0,23,2,0,0,2,0,0
155,0,34,34,0,0,0,124,49,195,0,69,9,0
156,0,88,88,0,0,0,6,5,0,0,4,0,1
157,0,83,83,0,0,0,8,0,0,0,0,0,0
158,0,79,79,0,0,0,3,0,5,8,15,0,6
159,0,34,8,26,0,0,4,0,329,25,0,0,0
160,0,25,25,0,0,0,1,0,0,0,26,0,0
161,0,148,148,0,0,0,5,1,0,0,0,0,0
162,0,174,174,0,0,0,4,0,0,0,4,0,0
163,0,154,154,0,0,0,18,5,1,0,9,0,9
164,0,47,47,0,0,0,8,1,0,0,0,4,0
165,0,23,23,0,0,0,5,0,0,0,0,4,0
166,0,132,104,28,0,0,9,4,0,0,10,0,0
167,0,82,82,0,0,0,5,0,57,0,0,0,0
168,0,49,49,0,0,0,0,0,0,0,13,0,0
169,0,143,143,0,0,0,30,115,17,0,19,0,8
170,0,95,82,13,11,0,12,0,0,0,0,10,0
171,0,108,108,0,0,0,5,8,2,0,0,0,0
172,0,83,83,0,0,0,39,3,8,0,1,2,0
173,0,25,25,0,0,0,3,0,9,0,0,0,0
174,0,99,99,0,0,11,17,6,0,0,6,0,0
175,0,56,56,0,0,0,5,0,0,0,5,0,15
176,0,28,28,0,0,0,1,0,0,0,1,0,4
177,0,140,140,0,0,0,18,0,24,0,8,2,25
202,0,297,297,0,2,0,36,22,5,0,3,0,0
203,0,323,323,0,0,0,29,29,0,0,4,15,0
204,0,23,23,0,0,0,32,30,13,0,36,0,1
205,0,190,190,0,0,0,27,20,2,0,6,0,0
206,0,214,214,0,0,0,56,8,1,0,4,7,8
207,0,151,151,0,0,0,30,17,2,0,7,5,10
208,0,122,122,0,0,0,12,20,0,1,7,2,0
209,0,108,108,0,0,0,35,2,0,0,1,0,8
210,0,71,71,0,0,0,12,5,0,0,23,2,7
211,0,138,138,0,0,0,32,24,0,0,7,2,0
212,0,157,157,0,1,0,38,12,2,213,18,0,0
213,0,23,23,0,0,0,0,22,0,0,0,0,0
214,0,17,17,0,0,0,55,0,16,0,14,3,0
215,0,19,19,0,0,0,27,6,0,0,28,0,0
240,0,995,995,0,2,0,99,72,20,0,42,2,12
241,0,527,527,0,0,0,56,12,3,0,18,0,5
242,0,259,259,0,0,0,122,7,104,0,5,0,5
243,0,519,519,0,0,0,109,63,4,0,37,1,0
244,0,357,357,0,0,0,22,75,15,0,35,2,76
245,0,226,226,0,0,0,181,18,20,105,96,32,2
246,0,173,173,0,0,0,58,20,0,0,76,0,25
247,0,16,16,0,0,0,0,54,0,0,0,0,0
248,0,46,46,0,0,0,16,17,0,0,8,1,0
249,0,102,102,0,0,0,13,13,3,0,9,3,0
250,0,428,428,0,0,0,42,27,10,0,113,1,8
251,0,114,114,0,0,0,34,23,15,0,68,4,0
252,0,29,29,0,0,0,13,38,0,0,0,0,0
253,0,94,94,0,0,0,15,29,0,0,13,0,4
254,0,316,316,0,0,0,61,172,24,0,134,3,0
255,0,172,172,0,0,151,136,220,59,0,7,0,30
256,0,71,71,0,0,0,46,7,4,0,0,0,0
257,0,151,151,0,8,310,1075,345,323,0,159,0,9
258,0,18,18,0,0,0,0,0,0,0,27,0,0
259,0,0,0,0,62,0,236,495,97,0,756,71,9
260,0,293,293,0,0,0,434,2,0,0,5,0,0
261,0,480,191,289,0,0,219,89,187,9,88,8,81
262,0,59,59,0,0,0,149,62,7,0,28,7,18
263,0,27,27,0,84,0,6,0,2,0,4,0,0
264,0,3,3,0,0,0,0,0,252,0,0,0,0
